TIME PERIOD,COUNTRY,REMOVAL REQUESTS (COURT ORDERS),"REMOVAL REQUESTS (GOVT AGENCY, POLICE, OTHER)",PERCENTAGE WHERE SOME CONTENT WITHHELD,ACCOUNTS SPECIFIED,ACCOUNTS WITHHELD,TWEETS WITHHELD,ACCOUNTS (TOS)
July - December 2018,Afghanistan,-,-,-,-,-,-,-
July - December 2018,Argentina,2,1,33%,115,0,0,24
July - December 2018,Australia,1,13,15%,20,0,8,4
July - December 2018,Austria,0,2,0%,2,0,0,0
July - December 2018,Azerbaijan,-,-,-,-,-,-,-
July - December 2018,Bahrain,-,-,-,-,-,-,-
July - December 2018,Belarus,-,-,-,-,-,-,-
July - December 2018,Belgium,-,-,-,-,-,-,-
July - December 2018,Bosnia and Herzegovina,-,-,-,-,-,-,-
July - December 2018,Brazil,92,27,29%,512,1,142,35
July - December 2018,Bulgaria,0,1,0%,7,0,0,3
July - December 2018,Canada,0,6,0%,9,0,0,3
July - December 2018,Chile,-,-,-,-,-,-,-
July - December 2018,Colombia,0,4,0%,4,0,0,1
July - December 2018,Croatia,-,-,-,-,-,-,-
July - December 2018,Cyprus,0,2,0%,2,0,0,1
July - December 2018,Czech Republic,0,2,0%,2,0,0,1
July - December 2018,Denmark,0,4,0%,5,0,0,3
July - December 2018,Dominican Republic,0,1,0%,1,0,0,0
July - December 2018,Ecuador,0,4,0%,25,0,0,20
July - December 2018,Egypt,-,-,-,-,-,-,-
July - December 2018,Estonia,-,-,-,-,-,-,-
July - December 2018,Finland,-,-,-,-,-,-,-
July - December 2018,France,0,110,8%,126,1,6,58
July - December 2018,Georgia,-,-,-,-,-,-,-
July - December 2018,Germany,3,39,12%,44,0,39,10
July - December 2018,Greece,0,1,0%,2,0,0,0
July - December 2018,Haiti,-,-,-,-,-,-,-
July - December 2018,Hong Kong,0,2,0%,2,0,0,1
July - December 2018,India,10,657,2%,"2,228",95,114,320
July - December 2018,Indonesia,0,327,0%,"3,015",0,0,366
July - December 2018,Iraq,-,-,-,-,-,-,-
July - December 2018,Ireland,0,8,0%,107,0,0,1
July - December 2018,Israel,0,2,0%,3,0,0,2
July - December 2018,Italy,1,5,0%,9,0,0,4
July - December 2018,Japan,16,663,2%,"1,679",0,363,"1,187"
July - December 2018,Kazakhstan,-,-,-,-,-,-,-
July - December 2018,Kenya,-,-,-,-,-,-,-
July - December 2018,Kuwait,0,3,0%,3,0,0,0
July - December 2018,Kyrgyzstan,4,15,0%,37,0,0,8
July - December 2018,Lebanon,-,-,-,-,-,-,-
July - December 2018,Luxembourg,-,-,-,-,-,-,-
July - December 2018,Macedonia,0,1,0%,4,0,0,0
July - December 2018,Malaysia,0,8,0%,10,0,0,1
July - December 2018,Maldives,-,-,-,-,-,-,-
July - December 2018,Mexico,2,16,0%,22,0,0,8
July - December 2018,Mongolia,-,-,-,-,-,-,-
July - December 2018,Nepal,0,3,0%,3,0,0,3
July - December 2018,Netherlands,0,3,0%,8,0,0,0
July - December 2018,New Zealand,-,-,-,-,-,-,-
July - December 2018,Norway,-,-,-,-,-,-,-
July - December 2018,Oman,0,2,0%,2,0,0,1
July - December 2018,Pakistan,1,192,0%,"2,349",0,0,204
July - December 2018,Panama,32,1,0%,51,0,0,0
July - December 2018,Paraguay,-,-,-,-,-,-,-
July - December 2018,Philippines,0,1,0%,2,0,0,2
July - December 2018,Poland,0,3,0%,5,0,0,0
July - December 2018,Portugal,-,-,-,-,-,-,-
July - December 2018,Qatar,0,3,0%,12,0,0,1
July - December 2018,Russia,316,"3,028",46%,"3,391",15,"1,441","1,124"
July - December 2018,Saudi Arabia,0,6,0%,6,0,0,3
July - December 2018,Serbia,-,-,-,-,-,-,-
July - December 2018,Singapore,-,-,-,-,-,-,-
July - December 2018,Slovenia,0,1,0%,1,0,0,0
July - December 2018,South Africa,-,-,-,-,-,-,-
July - December 2018,South Korea,53,253,0%,"1,712",0,0,"1,461"
July - December 2018,Spain,4,6,0%,41,0,2,11
July - December 2018,Sri Lanka,-,-,-,-,-,-,-
July - December 2018,Sweden,-,-,-,-,-,-,-
July - December 2018,Switzerland,-,-,-,-,-,-,-
July - December 2018,Thailand,0,1,0%,1,0,0,0
July - December 2018,Tunisla,-,-,-,-,-,-,-
July - December 2018,Turkey,597,"4,417",4%,"9,155",72,355,"1,588"
July - December 2018,Ukraine,0,1,0%,1,0,0,0
July - December 2018,United Arab Emirates,0,112,0%,"2,155",0,0,"1,994"
July - December 2018,United Kingdom,3,43,2%,90,0,1,23
July - December 2018,United States,2,81,0%,303,0,0,245
July - December 2018,Uruguay,-,-,-,-,-,-,-
July - December 2018,Uzbekistan,-,-,-,-,-,-,-
July - December 2018,Venezuela,-,-,-,-,-,-,-
July - December 2018,Total,"1,139","10,082",16%,"27,283",184,"2,471","8,720"
